Date,Time,Event,ID
2025-11-24,16:05:50,ENTRY,4
2025-11-24,16:54:20,ENTRY,1
2025-11-24,16:54:35,EXIT,2
2025-11-24,16:54:43,ENTRY,18
2025-11-24,16:54:46,ENTRY,21
2025-11-24,16:55:05,EXIT,19
2025-11-24,16:55:54,ENTRY,4
2025-11-24,16:56:04,ENTRY,5
2025-11-24,16:56:17,ENTRY,9
2025-11-24,16:56:29,ENTRY,11
2025-11-24,16:56:31,ENTRY,12
2025-11-24,16:56:43,ENTRY,14
2025-11-24,16:57:35,ENTRY,1
2025-11-24,16:57:46,EXIT,2
2025-11-24,17:02:51,EXIT,8
2025-11-24,17:02:52,EXIT,10
2025-11-24,17:10:49,EXIT,51
2025-11-24,17:11:18,EXIT,91
2025-11-24,17:38:15,ENTRY,8
2025-11-24,17:38:32,EXIT,8
2025-11-24,17:38:46,EXIT,8
2025-11-24,17:39:08,ENTRY,1
2025-11-24,17:39:36,ENTRY,1
2025-11-24,17:39:39,ENTRY,5
2025-11-24,17:39:41,ENTRY,2
2025-11-24,17:42:05,EXIT,13
2025-11-24,17:42:06,ENTRY,1
2025-11-24,17:42:19,EXIT,12
2025-11-24,17:42:57,ENTRY,12
2025-11-24,17:42:58,ENTRY,1
2025-11-24,17:43:00,ENTRY,6
2025-11-24,17:43:16,ENTRY,33
2025-11-24,17:43:17,EXIT,1
2025-11-24,17:45:31,ENTRY,12
2025-11-24,17:45:33,ENTRY,10
2025-11-24,17:45:34,ENTRY,13
2025-11-24,17:45:37,ENTRY,1
2025-11-24,17:45:41,ENTRY,8
2025-11-24,17:45:48,EXIT,8
2025-11-24,17:52:55,ENTRY,1
2025-11-24,17:55:11,ENTRY,8
2025-11-24,17:55:13,ENTRY,11
2025-11-24,17:55:18,EXIT,18
2025-11-24,17:55:24,ENTRY,27
2025-11-24,17:55:25,ENTRY,22
2025-11-24,17:55:29,EXIT,27
2025-11-24,18:02:30,ENTRY,9
2025-11-24,18:11:48,ENTRY,1
2025-11-24,18:11:51,ENTRY,2
2025-11-24,18:13:14,ENTRY,2
2025-11-24,18:13:35,EXIT,5
2025-11-24,18:14:11,ENTRY,7
2025-11-24,18:16:00,ENTRY,1
2025-11-24,18:16:03,ENTRY,2
2025-11-24,18:16:29,EXIT,12
2025-11-24,18:17:33,ENTRY,1
2025-11-24,18:18:01,EXIT,3
2025-11-24,18:18:08,ENTRY,4
2025-11-24,18:18:28,EXIT,5
2025-11-24,18:18:34,ENTRY,6
2025-11-25,14:25:24,EXIT,1
2025-11-25,14:25:28,EXIT,3
2025-11-25,14:25:32,ENTRY,4
2025-11-25,14:26:09,EXIT,5
2025-11-25,14:29:05,EXIT,2
2025-11-25,14:29:06,EXIT,6
2025-11-25,14:29:15,ENTRY,7
2025-11-25,14:29:16,ENTRY,9
2025-11-25,14:32:37,ENTRY,12
2025-11-25,14:32:39,EXIT,17
2025-11-25,14:32:40,EXIT,19
2025-11-25,14:33:06,ENTRY,20
2025-11-25,14:33:07,EXIT,24
2025-11-25,14:33:07,ENTRY,23
2025-11-25,14:33:08,EXIT,25
2025-11-25,14:33:08,ENTRY,21
2025-11-25,14:42:11,ENTRY,2
2025-11-25,14:42:19,ENTRY,8
2025-11-25,14:42:26,ENTRY,12
2025-11-25,14:42:27,EXIT,13
2025-11-25,14:42:36,ENTRY,16
2025-11-25,14:42:36,ENTRY,15
2025-11-25,14:48:11,ENTRY,4
2025-11-25,14:48:22,EXIT,7
2025-11-25,14:48:33,ENTRY,10
2025-11-25,14:55:35,EXIT,2
2025-11-25,14:55:43,ENTRY,3
2025-11-25,14:55:54,EXIT,4
2025-11-25,14:56:01,ENTRY,6
2025-11-25,14:56:30,EXIT,7
